Date,Site,Pop,Tray,Sample,Area,Length.mm
10/17/2014,Fidalgo,2N,9-12,66,262,36.61848863
10/17/2014,Fidalgo,2N,9-12,67,240,33.54365371
10/17/2014,Fidalgo,2N,9-12,68,260,36.33895818
10/17/2014,Fidalgo,2N,9-12,69,274,38.29567131
10/17/2014,Fidalgo,2N,9-12,70,258,36.05942773
10/17/2014,Fidalgo,2N,9-12,71,218,30.46881878
10/17/2014,Fidalgo,2N,9-12,72,274,38.29567131
10/17/2014,Fidalgo,2N,9-12,73,218,30.46881878
10/17/2014,Fidalgo,2N,9-12,74,195,27.25421864
10/17/2014,Fidalgo,2N,9-12,75,208,29.07116654
10/17/2014,Fidalgo,2N,9-12,76,198,27.67351431
10/17/2014,Fidalgo,2N,9-12,77,256,35.77989729
10/17/2014,Fidalgo,2N,9-12,78,217,30.32905356
10/17/2014,Fidalgo,2N,9-12,79,191,26.69515774
10/17/2014,Fidalgo,2N,9-12,80,256,35.77989729
10/17/2014,Fidalgo,2N,9-12,81,253,35.36060161
10/17/2014,Fidalgo,2N,9-12,82,229,32.00623624
10/17/2014,Fidalgo,2N,9-12,83,286,39.972854
10/17/2014,Fidalgo,2N,9-12,84,227,31.7267058
10/17/2014,Fidalgo,2N,9-12,85,176,24.59867938
10/17/2014,Fidalgo,2N,9-12,86,191,26.69515774
10/17/2014,Fidalgo,2N,9-12,87,250,34.94130594
10/17/2014,Fidalgo,2N,9-12,88,279,38.99449743
10/17/2014,Fidalgo,2N,9-12,89,224,31.30741012
10/17/2014,Fidalgo,2N,9-12,90,160,22.3624358
10/17/2014,Fidalgo,2N,9-12,91,192,26.83492296
10/17/2014,Fidalgo,2N,9-12,92,152,21.24431401
10/17/2014,Fidalgo,2N,9-12,93,225,31.44717535
10/17/2014,Fidalgo,2N,9-12,94,237,33.12435803
10/17/2014,Fidalgo,2N,9-12,95,255,35.64013206
10/17/2014,Fidalgo,2N,9-12,96,163,22.78173147
10/17/2014,Fidalgo,2N,13-16,1,153,26.3709568
10/17/2014,Fidalgo,2N,13-16,2,133,22.9237729
10/17/2014,Fidalgo,2N,13-16,3,145,24.99208324
10/17/2014,Fidalgo,2N,13-16,4,142,24.47500566
10/17/2014,Fidalgo,2N,13-16,5,133,22.9237729
10/17/2014,Fidalgo,2N,13-16,6,185,31.88645103
10/17/2014,Fidalgo,2N,13-16,7,185,31.88645103
10/17/2014,Fidalgo,2N,13-16,8,199,34.29947976
10/17/2014,Fidalgo,2N,13-16,9,114,19.6489482
10/17/2014,Fidalgo,2N,13-16,10,168,28.95634472
10/17/2014,Fidalgo,2N,13-16,11,203,34.98891654
10/17/2014,Fidalgo,2N,13-16,12,244,42.05564352
10/17/2014,Fidalgo,2N,13-16,13,186,32.05881023
10/17/2014,Fidalgo,2N,13-16,14,200,34.47183895
10/17/2014,Fidalgo,2N,13-16,15,119,20.51074418
10/17/2014,Fidalgo,2N,13-16,16,139,23.95792807
10/17/2014,Fidalgo,2N,13-16,17,183,31.54173264
10/17/2014,Fidalgo,2N,13-16,18,130,22.40669532
10/17/2014,Fidalgo,2N,13-16,19,167,28.78398553
10/17/2014,Fidalgo,2N,13-16,20,140,24.13028727
10/17/2014,Fidalgo,2N,13-16,21,140,24.13028727
10/17/2014,Fidalgo,2N,13-16,22,171,29.4734223
10/17/2014,Fidalgo,2N,13-16,23,148,25.50916082
10/17/2014,Fidalgo,2N,13-16,24,177,30.50757747
10/17/2014,Fidalgo,2N,13-16,25,183,31.54173264
10/17/2014,Fidalgo,2N,13-16,26,192,33.09296539
10/17/2014,Fidalgo,2N,13-16,27,145,24.99208324
10/17/2014,Fidalgo,2N,13-16,28,197,33.95476137
10/17/2014,Fidalgo,2N,13-16,29,160,27.57747116
10/17/2014,Fidalgo,2N,13-16,30,148,25.50916082
10/17/2014,Fidalgo,2N,13-16,31,170,29.30106311
10/17/2014,Fidalgo,2N,13-16,32,137,23.61320968
10/17/2014,Fidalgo,2N,13-16,33,169,29.12870391
10/17/2014,Fidalgo,2N,13-16,34,154,26.54331599
10/17/2014,Fidalgo,2N,13-16,35,150,25.85387921
10/17/2014,Fidalgo,2N,13-16,36,182,31.36937345
10/17/2014,Fidalgo,2N,13-16,37,162,27.92218955
10/17/2014,Fidalgo,2N,13-16,38,135,23.26849129
10/17/2014,Fidalgo,2N,13-16,39,202,34.81655734
10/17/2014,Fidalgo,2N,13-16,40,165,28.43926714
10/17/2014,Fidalgo,2N,13-16,41,157,27.06039358
10/17/2014,Fidalgo,2N,13-16,42,136,23.44085049
10/17/2014,Fidalgo,2N,13-16,43,86,14.82289075
10/17/2014,Fidalgo,2N,13-16,44,135,23.26849129
10/17/2014,Fidalgo,2N,13-16,45,97,16.71884189
10/17/2014,Fidalgo,2N,13-16,46,119,20.51074418
10/17/2014,Fidalgo,2N,13-16,47,181,31.19701425
10/17/2014,Fidalgo,2N,13-16,48,167,28.78398553
10/17/2014,Fidalgo,2N,13-16,49,126,21.71725854
10/17/2014,Fidalgo,2N,13-16,50,202,34.81655734
10/17/2014,Fidalgo,2N,13-16,51,131,22.57905451
10/17/2014,Fidalgo,2N,13-16,52,173,29.81814069
10/17/2014,Fidalgo,2N,13-16,53,147,25.33680163
10/17/2014,Fidalgo,2N,13-16,54,162,27.92218955
10/17/2014,Fidalgo,2N,13-16,55,172,29.6457815
10/17/2014,Fidalgo,2N,13-16,56,121,20.85546257
10/17/2014,Fidalgo,2N,13-16,57,202,34.81655734
10/17/2014,Fidalgo,2N,13-16,58,149,25.68152002
10/17/2014,Fidalgo,2N,13-16,59,177,30.50757747
10/17/2014,Fidalgo,2N,13-16,60,173,29.81814069
10/17/2014,Fidalgo,2N,13-16,61,156,26.88803438
10/17/2014,Fidalgo,2N,13-16,62,150,25.85387921
10/17/2014,Fidalgo,2N,13-16,63,136,23.44085049
10/17/2014,Fidalgo,2N,13-16,64,187,32.23116942
10/17/2014,Fidalgo,2N,13-16,65,153,26.3709568
10/17/2014,Fidalgo,2N,13-16,66,188,32.40352862
10/17/2014,Fidalgo,2N,13-16,67,140,24.13028727
10/17/2014,Fidalgo,2N,13-16,68,168,28.95634472
10/17/2014,Fidalgo,2N,13-16,69,206,35.50599412
10/17/2014,Fidalgo,2N,13-16,70,125,21.54489935
10/17/2014,Fidalgo,2N,13-16,71,201,34.64419815
10/17/2014,Fidalgo,2N,13-16,72,186,32.05881023
10/17/2014,Fidalgo,2N,13-16,73,203,34.98891654
10/17/2014,Fidalgo,2N,13-16,74,215,37.05722687
10/17/2014,Fidalgo,2N,13-16,75,179,30.85229586
10/17/2014,Fidalgo,2N,13-16,76,184,31.71409184
10/17/2014,Fidalgo,2N,13-16,77,198,34.12712056
10/17/2014,Fidalgo,2N,13-16,78,95,16.3741235
10/17/2014,Fidalgo,2N,13-16,79,233,40.15969238
10/17/2014,Fidalgo,2N,13-16,80,202,34.81655734
10/17/2014,Fidalgo,2N,13-16,81,191,32.9206062
10/17/2014,Fidalgo,2N,13-16,82,159,27.40511197
10/17/2014,Fidalgo,2N,13-16,83,191,32.9206062
10/17/2014,Fidalgo,2N,13-16,84,119,20.51074418
10/17/2014,Fidalgo,2N,13-16,85,167,28.78398553
10/17/2014,Fidalgo,2N,13-16,86,184,31.71409184
10/17/2014,Fidalgo,2N,13-16,87,225,38.78081882
10/17/2014,Fidalgo,2N,13-16,88,137,23.61320968
10/17/2014,Fidalgo,2N,13-16,89,146,25.16444244
10/17/2014,Fidalgo,2N,13-16,90,126,21.71725854
10/17/2014,Fidalgo,2N,13-16,91,160,27.57747116
10/17/2014,Fidalgo,2N,13-16,92,188,32.40352862
10/17/2014,Fidalgo,2N,13-16,93,176,30.33521828
10/17/2014,Fidalgo,2N,13-16,94,111,19.13187062
10/17/2014,Fidalgo,2N,13-16,95,139,23.95792807
10/17/2014,Fidalgo,2N,13-16,96,179,30.85229586
10/17/2014,Fidalgo,2N,13-16,97,204,35.16127573
10/17/2014,Fidalgo,2N,13-16,98,174,29.99049989
10/17/2014,Fidalgo,2N,13-16,99,123,21.20018096
10/17/2014,Fidalgo,2N,13-16,100,152,26.1985976
10/17/2014,Fidalgo,2N,13-16,101,216,37.22958607
10/17/2014,Fidalgo,2N,13-16,102,145,24.99208324
10/17/2014,Fidalgo,2N,13-16,103,161,27.74983036
10/17/2014,Fidalgo,2N,13-16,104,152,26.1985976
10/17/2014,Fidalgo,2N,13-16,105,157,27.06039358
10/17/2014,Fidalgo,2N,13-16,106,172,29.6457815
10/17/2014,Fidalgo,2N,13-16,107,234,40.33205157
10/17/2014,Fidalgo,2H,1-4,1,220,32.29435562
10/17/2014,Fidalgo,2H,1-4,2,170,24.95472934
10/17/2014,Fidalgo,2H,1-4,3,173,25.39510692
10/17/2014,Fidalgo,2H,1-4,4,168,24.66114429
10/17/2014,Fidalgo,2H,1-4,5,192,28.1841649
10/17/2014,Fidalgo,2H,1-4,6,92,13.50491235
10/17/2014,Fidalgo,2H,1-4,7,289,42.42303988
10/17/2014,Fidalgo,2H,1-4,8,235,34.4962435
10/17/2014,Fidalgo,2H,1-4,9,194,28.47774995
10/17/2014,Fidalgo,2H,1-4,10,205,30.09246773
10/17/2014,Fidalgo,2H,1-4,11,169,24.80793681
10/17/2014,Fidalgo,2H,1-4,12,183,26.86303217
10/17/2014,Fidalgo,2H,1-4,13,170,24.95472934
10/17/2014,Fidalgo,2H,1-4,14,177,25.98227702
10/17/2014,Fidalgo,2H,1-4,15,224,32.88152572
10/17/2014,Fidalgo,2H,1-4,16,97,14.23887498
10/17/2014,Fidalgo,2H,1-4,17,141,20.6977461
10/17/2014,Fidalgo,2H,1-4,18,160,23.48680408
10/17/2014,Fidalgo,2H,1-4,19,167,24.51435176
10/17/2014,Fidalgo,2H,1-4,20,163,23.92718166
10/17/2014,Fidalgo,2H,1-4,21,157,23.04642651
10/17/2014,Fidalgo,2H,1-4,22,190,27.89057985
10/17/2014,Fidalgo,2H,1-4,23,170,24.95472934
10/17/2014,Fidalgo,2H,1-4,24,76,11.15623194
10/17/2014,Fidalgo,2H,1-4,25,145,21.2849162
10/17/2014,Fidalgo,2H,1-4,26,163,23.92718166
10/17/2014,Fidalgo,2H,1-4,27,170,24.95472934
10/17/2014,Fidalgo,2H,1-4,28,124,18.20227317
10/17/2014,Fidalgo,2H,1-4,29,175,25.68869197
10/17/2014,Fidalgo,2H,1-4,30,201,29.50529763
10/17/2014,Fidalgo,2H,1-4,31,146,21.43170873
10/17/2014,Fidalgo,2H,1-4,32,171,25.10152186
10/17/2014,Fidalgo,2H,1-4,33,142,20.84453862
10/17/2014,Fidalgo,2H,1-4,34,182,26.71623965
10/17/2014,Fidalgo,2H,1-4,35,165,24.22076671
10/17/2014,Fidalgo,2H,1-4,36,193,28.33095743
10/17/2014,Fidalgo,2H,1-4,37,140,20.55095357
10/17/2014,Fidalgo,2H,1-4,38,171,25.10152186
10/17/2014,Fidalgo,2H,1-4,39,172,25.24831439
10/17/2014,Fidalgo,2H,1-4,40,135,19.81699095
10/17/2014,Fidalgo,2H,1-4,41,198,29.06492005
10/17/2014,Fidalgo,2H,1-4,42,182,26.71623965
10/17/2014,Fidalgo,2H,1-4,43,223,32.73473319
10/17/2014,Fidalgo,2H,1-4,44,181,26.56944712
10/17/2014,Fidalgo,2H,1-4,45,158,23.19321903
10/17/2014,Fidalgo,2H,1-4,46,153,22.45925641
10/17/2014,Fidalgo,2H,1-4,47,143,20.99133115
10/17/2014,Fidalgo,2H,1-4,48,140,20.55095357
10/17/2014,Fidalgo,2H,1-4,49,147,21.57850125
10/17/2014,Fidalgo,2H,1-4,50,151,22.16567135
