Date,Site,Tray,Pop,Tray2,Number,Area ,Length mm
2/28/2014,Fidalgo,2S 1-4,,,16,114,16.650949
2/28/2014,Fidalgo,2S 1-4,,,17,189,27.605520
2/28/2014,Fidalgo,2S 1-4,,,18,124,18.111558
2/28/2014,Fidalgo,2S 1-4,,,19,138,20.156412
2/28/2014,Fidalgo,2S 1-4,,,20,167,24.392179
2/28/2014,Fidalgo,2S 1-4,,,21,123,17.965497
2/28/2014,Fidalgo,2S 1-4,,,22,149,21.763082
2/28/2014,Fidalgo,2S 1-4,,,23,120,17.527315
2/28/2014,Fidalgo,2S 1-4,,,24,73,10.662450
2/28/2014,Fidalgo,2S 1-4,,,25,145,21.178838
2/28/2014,Fidalgo,2S 1-4,,,26,149,21.763082
2/28/2014,Fidalgo,2S 1-4,,,27,156,22.785509
2/28/2014,Fidalgo,2S 1-4,,,28,196,28.627947
2/28/2014,Fidalgo,2S 1-4,,,29,128,18.695802
2/28/2014,Fidalgo,2S 1-4,,,30,160,23.369753
2/28/2014,Fidalgo,2S 1-4,,,31,91,13.291547
2/28/2014,Fidalgo,2S 1-4,,,32,115,16.797010
2/28/2014,Fidalgo,2S 1-4,,,33,133,19.426107
2/28/2014,Fidalgo,2S 1-4,,,34,89,12.999425
2/28/2014,Fidalgo,2S 1-4,,,35,92,13.437608
2/28/2014,Fidalgo,2S 1-4,,,36,76,11.100633
2/28/2014,Fidalgo,2S 1-4,,,37,101,14.752156
2/28/2014,Fidalgo,2S 1-4,,,38,70,10.224267
2/28/2014,Fidalgo,2S 1-4,,,39,109,15.920644
2/28/2014,Fidalgo,2S 1-4,,,40,127,18.549741
2/28/2014,Fidalgo,2S 1-4,,,41,109,15.920644
2/28/2014,Fidalgo,2S 1-4,,,42,106,15.482461
2/28/2014,Fidalgo,2S 1-4,,,43,93,13.583669
2/28/2014,Fidalgo,2S 1-4,,,44,49,7.156987
2/28/2014,Fidalgo,2S 1-4,,,45,157,22.931570
2/28/2014,Fidalgo,2S 1-4,,,46,116,16.943071
2/28/2014,Fidalgo,2S 1-4,,,47,113,16.504888
2/28/2014,Fidalgo,2S 1-4,,,48,155,22.639448
2/28/2014,Fidalgo,2S 1-4,,,49,123,17.965497
2/28/2014,Fidalgo,2S 1-4,,,50,155,22.639448
2/28/2014,Fidalgo,2S 1-4,,,51,158,23.077631
2/28/2014,Fidalgo,2S 1-4,,,52,141,20.594595
2/28/2014,Fidalgo,2S 1-4,,,53,136,19.864290
2/28/2014,Fidalgo,2S 1-4,,,54,126,18.403680
2/28/2014,Fidalgo,2S 1-4,,,55,100,14.606095
2/28/2014,Fidalgo,2S 1-4,,,56,104,15.190339
2/28/2014,Fidalgo,2S 1-4,,,57,188,27.459459
2/28/2014,Fidalgo,2S 1-4,,,58,112,16.358827
2/28/2014,Fidalgo,2S 1-4,,,59,114,16.650949
2/28/2014,Fidalgo,2S 1-4,,,60,135,19.718229
2/28/2014,Fidalgo,2S 1-4,,,61,153,22.347326
2/28/2014,Fidalgo,2S 1-4,,,62,160,23.369753
2/28/2014,Fidalgo,2S 1-4,,,63,101,14.752156
2/28/2014,Fidalgo,2S 1-4,,,64,162,23.661875
2/28/2014,Fidalgo,2S 1-4,,,65,156,22.785509
2/28/2014,Fidalgo,2S 1-4,,,66,87,12.707303
2/28/2014,Fidalgo,2S 1-4,,,67,125,18.257619
2/28/2014,Fidalgo,2S 1-4,,,68,196,28.627947
2/28/2014,Fidalgo,2S 1-4,,,69,95,13.875791
2/28/2014,Fidalgo,2S 1-4,,,70,140,20.448534
2/28/2014,Fidalgo,2S 1-4,,,71,126,18.403680
2/28/2014,Fidalgo,2S 1-4,,,72,166,24.246118
2/28/2014,Fidalgo,2S 1-4,,,73,91,13.291547
2/28/2014,Fidalgo,2S 1-4,,,74,151,22.055204
2/28/2014,Fidalgo,2S 1-4,,,75,163,23.807936
2/28/2014,Fidalgo,2S 1-4,,,76,127,18.549741
2/28/2014,Fidalgo,2S 1-4,,,77,54,7.887292
2/28/2014,Fidalgo,2S 1-4,,,78,121,17.673376
2/28/2014,Fidalgo,2S 1-4,,,79,219,31.987349
2/28/2014,Fidalgo,2S 1-4,,,80,63,9.201840
2/28/2014,Fidalgo,2S 1-4,,,81,179,26.144911
2/28/2014,Fidalgo,2S 1-4,,,82,136,19.864290
2/28/2014,Fidalgo,2S 1-4,,,83,120,17.527315
2/28/2014,Fidalgo,2S 1-4,,,84,111,16.212766
2/28/2014,Fidalgo,2S 1-4,,,85,120,17.527315
2/28/2014,Fidalgo,2S 1-4,,,86,140,20.448534
2/28/2014,Fidalgo,2S 1-4,,,87,139,20.302473
2/28/2014,Fidalgo,2S 1-4,,,88,101,14.752156
2/28/2014,Fidalgo,2S 1-4,,,89,177,25.852789
2/28/2014,Fidalgo,2S 1-4,,,90,92,13.437608
2/28/2014,Fidalgo,2S 1-4,,,91,91,13.291547
2/28/2014,Fidalgo,2S 1-4,,,92,81,11.830937
2/28/2014,Fidalgo,2S 1-4,,,93,134,19.572168
2/28/2014,Fidalgo,2S 1-4,,,94,133,19.426107
2/28/2014,Fidalgo,2S 1-4,,,95,107,15.628522
2/28/2014,Fidalgo,2S 1-4,,,96,157,22.931570
2/28/2014,Fidalgo,2S 1-4,,,97,158,23.077631
2/28/2014,Fidalgo,2S 1-4,,,98,150,21.909143
2/28/2014,Fidalgo,2S 9-12,,,1,114,18.569474
2/28/2014,Fidalgo,2S 9-12,,,2,95,15.474562
2/28/2014,Fidalgo,2S 9-12,,,3,154,25.085079
2/28/2014,Fidalgo,2S 9-12,,,4,130,21.175716
2/28/2014,Fidalgo,2S 9-12,,,5,91,14.823001
2/28/2014,Fidalgo,2S 9-12,,,6,163,26.551090
2/28/2014,Fidalgo,2S 9-12,,,7,130,21.175716
2/28/2014,Fidalgo,2S 9-12,,,8,130,21.175716
2/28/2014,Fidalgo,2S 9-12,,,9,112,18.243694
2/28/2014,Fidalgo,2S 9-12,,,10,131,21.338606
2/28/2014,Fidalgo,2S 9-12,,,11,97,15.800342
2/28/2014,Fidalgo,2S 9-12,,,12,95,15.474562
2/28/2014,Fidalgo,2S 9-12,,,13,82,13.356990
2/28/2014,Fidalgo,2S 9-12,,,14,94,15.311672
2/28/2014,Fidalgo,2S 9-12,,,15,123,20.035485
2/28/2014,Fidalgo,2S 9-12,,,16,109,17.755024
2/28/2014,Fidalgo,2S 9-12,,,17,100,16.289012
2/28/2014,Fidalgo,2S 9-12,,,18,116,18.895254
2/28/2014,Fidalgo,2S 9-12,,,19,84,13.682770
2/28/2014,Fidalgo,2S 9-12,,,20,131,21.338606
2/28/2014,Fidalgo,2S 9-12,,,21,83,13.519880
2/28/2014,Fidalgo,2S 9-12,,,22,139,22.641727
2/28/2014,Fidalgo,2S 9-12,,,23,81,13.194100
2/28/2014,Fidalgo,2S 9-12,,,24,137,22.315947
2/28/2014,Fidalgo,2S 9-12,,,25,165,26.876870
2/28/2014,Fidalgo,2S 9-12,,,26,186,30.297563
2/28/2014,Fidalgo,2S 9-12,,,27,83,13.519880
2/28/2014,Fidalgo,2S 9-12,,,28,94,15.311672
2/28/2014,Fidalgo,2S 9-12,,,29,120,19.546815
2/28/2014,Fidalgo,2S 9-12,,,30,90,14.660111
2/28/2014,Fidalgo,2S 9-12,,,31,75,12.216759
2/28/2014,Fidalgo,2S 9-12,,,32,83,13.519880
2/28/2014,Fidalgo,2S 9-12,,,33,177,28.831552
2/28/2014,Fidalgo,2S 9-12,,,34,126,20.524156
2/28/2014,Fidalgo,2S 9-12,,,35,138,22.478837
2/28/2014,Fidalgo,2S 9-12,,,36,145,23.619068
2/28/2014,Fidalgo,2S 9-12,,,37,117,19.058145
2/28/2014,Fidalgo,2S 9-12,,,38,120,19.546815
2/28/2014,Fidalgo,2S 9-12,,,39,111,18.080804
2/28/2014,Fidalgo,2S 9-12,,,40,132,21.501496
2/28/2014,Fidalgo,2S 9-12,,,41,110,17.917914
2/28/2014,Fidalgo,2S 9-12,,,42,156,25.410859
2/28/2014,Fidalgo,2S 9-12,,,43,105,17.103463
2/28/2014,Fidalgo,2S 9-12,,,44,79,12.868320
2/28/2014,Fidalgo,2S 9-12,,,45,107,17.429243
2/28/2014,Fidalgo,2S 9-12,,,46,90,14.660111
2/28/2014,Fidalgo,2S 9-12,,,47,212,34.532706
2/28/2014,Fidalgo,2S 9-12,,,48,170,27.691321
2/28/2014,Fidalgo,2S 9-12,,,49,166,27.039761
2/28/2014,Fidalgo,2S 9-12,,,50,138,22.478837
2/28/2014,Fidalgo,2S 9-12,,,51,124,20.198375
2/28/2014,Fidalgo,2S 9-12,,,52,105,17.103463
2/28/2014,Fidalgo,2S 9-12,,,53,179,29.157332
2/28/2014,Fidalgo,2S 9-12,,,54,152,24.759299
2/28/2014,Fidalgo,2S 9-12,,,55,96,15.637452
2/28/2014,Fidalgo,2S 9-12,,,56,160,26.062420
2/28/2014,Fidalgo,2S 9-12,,,57,80,13.031210
2/28/2014,Fidalgo,2S 9-12,,,58,139,22.641727
2/28/2014,Fidalgo,2S 9-12,,,59,85,13.845661
2/28/2014,Fidalgo,2S 9-12,,,60,125,20.361265
2/28/2014,Fidalgo,2S 9-12,,,61,109,17.755024
2/28/2014,Fidalgo,2S 9-12,,,62,115,18.732364
2/28/2014,Fidalgo,2S 9-12,,,63,106,17.266353
2/28/2014,Fidalgo,2S 9-12,,,64,124,20.198375
2/28/2014,Fidalgo,2S 9-12,,,65,164,26.713980
2/28/2014,Fidalgo,2S 9-12,,,66,97,15.800342
2/28/2014,Fidalgo,2S 9-12,,,67,124,20.198375
2/28/2014,Fidalgo,2S 9-12,,,68,145,23.619068
2/28/2014,Fidalgo,2S 9-12,,,69,106,17.266353
2/28/2014,Fidalgo,2S 9-12,,,70,110,17.917914
2/28/2014,Fidalgo,2S 9-12,,,71,86,14.008551
2/28/2014,Fidalgo,2S 9-12,,,72,99,16.126122
2/28/2014,Fidalgo,2S 9-12,,,73,97,15.800342
2/28/2014,Fidalgo,2S 9-12,,,74,86,14.008551
2/28/2014,Fidalgo,2S 9-12,,,75,141,22.967507
2/28/2014,Fidalgo,2S 9-12,,,76,125,20.361265
2/28/2014,Fidalgo,2S 9-12,,,77,123,20.035485
2/28/2014,Fidalgo,2S 9-12,,,78,121,19.709705
2/28/2014,Fidalgo,2S 9-12,,,79,155,25.247969
2/28/2014,Fidalgo,2S 9-12,,,80,119,19.383925
2/28/2014,Fidalgo,2S 9-12,,,81,151,24.596409
2/28/2014,Fidalgo,2S 9-12,,,82,138,22.478837
2/28/2014,Fidalgo,2S 9-12,,,83,111,18.080804
2/28/2014,Fidalgo,2S 9-12,,,84,137,22.315947
2/28/2014,Fidalgo,2S 9-12,,,85,137,22.315947
2/28/2014,Fidalgo,2S 9-12,,,86,156,25.410859
2/28/2014,Fidalgo,2S 9-12,,,87,111,18.080804
2/28/2014,Fidalgo,2S 9-12,,,88,159,25.899530
2/28/2014,Fidalgo,2S 9-12,,,89,149,24.270628
2/28/2014,Fidalgo,2S 9-12,,,90,164,26.713980
2/28/2014,Fidalgo,2S 9-12,,,91,147,23.944848
2/28/2014,Fidalgo,2S 9-12,,,92,146,23.781958
2/28/2014,Fidalgo,2S 9-12,,,93,121,19.709705
2/28/2014,Fidalgo,2S 9-12,,,94,139,22.641727
2/28/2014,Fidalgo,2S 9-12,,,95,137,22.315947
2/28/2014,Fidalgo,2S 9-12,,,96,127,20.687046
2/28/2014,Fidalgo,2S 13-16,,,1,138,23.477562
2/28/2014,Fidalgo,2S 13-16,,,2,93,15.821835
2/28/2014,Fidalgo,2S 13-16,,,3,113,19.224380
2/28/2014,Fidalgo,2S 13-16,,,4,132,22.456798
2/28/2014,Fidalgo,2S 13-16,,,5,114,19.394508
2/28/2014,Fidalgo,2S 13-16,,,6,121,20.585399
2/28/2014,Fidalgo,2S 13-16,,,7,144,24.498326
2/28/2014,Fidalgo,2S 13-16,,,8,162,27.560616
2/28/2014,Fidalgo,2S 13-16,,,9,93,15.821835
2/28/2014,Fidalgo,2S 13-16,,,10,143,24.328198
2/28/2014,Fidalgo,2S 13-16,,,11,135,22.967180
2/28/2014,Fidalgo,2S 13-16,,,12,139,23.647689
2/28/2014,Fidalgo,2S 13-16,,,13,119,20.245144
2/28/2014,Fidalgo,2S 13-16,,,14,105,17.863362
2/28/2014,Fidalgo,2S 13-16,,,15,111,18.884126
2/28/2014,Fidalgo,2S 13-16,,,16,80,13.610181
2/28/2014,Fidalgo,2S 13-16,,,17,187,31.813798
2/28/2014,Fidalgo,2S 13-16,,,18,179,30.452780
2/28/2014,Fidalgo,2S 13-16,,,19,80,13.610181
2/28/2014,Fidalgo,2S 13-16,,,20,115,19.564635
2/28/2014,Fidalgo,2S 13-16,,,21,123,20.925653
2/28/2014,Fidalgo,2S 13-16,,,22,134,22.797053
2/28/2014,Fidalgo,2S 13-16,,,23,133,22.626926
2/28/2014,Fidalgo,2S 13-16,,,24,129,21.946417
2/28/2014,Fidalgo,2S 13-16,,,25,96,16.332217
2/28/2014,Fidalgo,2S 13-16,,,26,114,19.394508
2/28/2014,Fidalgo,2S 13-16,,,27,150,25.519089
2/28/2014,Fidalgo,2S 13-16,,,28,117,19.904889
2/28/2014,Fidalgo,2S 13-16,,,29,82,13.950435
2/28/2014,Fidalgo,2S 13-16,,,30,159,27.050234
2/28/2014,Fidalgo,2S 13-16,,,31,109,18.543871
2/28/2014,Fidalgo,2S 13-16,,,32,95,16.162090
2/28/2014,Fidalgo,2S 13-16,,,33,137,23.307435
2/28/2014,Fidalgo,2S 13-16,,,34,97,16.502344
2/28/2014,Fidalgo,2S 13-16,,,35,111,18.884126
2/28/2014,Fidalgo,2S 13-16,,,36,80,13.610181
2/28/2014,Fidalgo,2S 13-16,,,37,89,15.141326
2/28/2014,Fidalgo,2S 13-16,,,38,79,13.440054
2/28/2014,Fidalgo,2S 13-16,,,39,97,16.502344
2/28/2014,Fidalgo,2S 13-16,,,40,84,14.290690
2/28/2014,Fidalgo,2S 13-16,,,41,95,16.162090
2/28/2014,Fidalgo,2S 13-16,,,42,136,23.137307
2/28/2014,Fidalgo,2S 13-16,,,43,87,14.801072
2/28/2014,Fidalgo,2S 13-16,,,44,165,28.070998
2/28/2014,Fidalgo,2S 13-16,,,45,113,19.224380
2/28/2014,Fidalgo,2S 13-16,,,46,74,12.589417
2/28/2014,Fidalgo,2S 13-16,,,47,101,17.182853
2/28/2014,Fidalgo,2S 13-16,,,48,133,22.626926
2/28/2014,Fidalgo,2S 13-16,,,49,96,16.332217
2/28/2014,Fidalgo,2S 13-16,,,50,71,12.079035
