Date,Site,Population,Size
7/4/2014,Fidalgo,S,32
7/4/2014,Fidalgo,S,32
7/4/2014,Fidalgo,S,41
7/4/2014,Fidalgo,S,32
7/4/2014,Fidalgo,S,21
7/4/2014,Fidalgo,N,28
7/9/2014,Manchester,H,21
7/10/2014,Oyster Bay,N,30
7/10/2014,Oyster Bay,N,22
7/10/2014,Oyster Bay,N,39
7/10/2014,Oyster Bay,N,35
7/10/2014,Oyster Bay,N,31
7/10/2014,Oyster Bay,N,33
7/10/2014,Oyster Bay,N,28
7/10/2014,Oyster Bay,N,32
7/10/2014,Oyster Bay,H,27
7/10/2014,Oyster Bay,H,27
7/10/2014,Oyster Bay,H,28
7/10/2014,Oyster Bay,H,26
7/10/2014,Oyster Bay,H,26
7/10/2014,Oyster Bay,H,27
7/10/2014,Oyster Bay,S,22
7/10/2014,Oyster Bay,S,22
7/10/2014,Oyster Bay,S,25
7/10/2014,Oyster Bay,S,28
7/10/2014,Oyster Bay,S,27
7/10/2014,Oyster Bay,S,27
7/10/2014,Oyster Bay,S,25
7/10/2014,Oyster Bay,S,24
7/10/2014,Oyster Bay,S,30
7/10/2014,Oyster Bay,S,30
7/11/2014,Fidalgo,S,27
7/11/2014,Fidalgo,S,25
7/11/2014,Fidalgo,S,26
7/11/2014,Fidalgo,S,30
7/11/2014,Fidalgo,S,28
7/11/2014,Fidalgo,S,30
7/11/2014,Fidalgo,S,27
7/11/2014,Fidalgo,S,31
7/11/2014,Fidalgo,S,25
7/11/2014,Fidalgo,S,32
7/11/2014,Fidalgo,S,31
7/16/2014,Manchester,S,22
7/16/2014,Manchester,S,16
7/16/2014,Manchester,S,20
7/16/2014,Manchester,H,17
7/17/2014,Oyster Bay,H,30
7/17/2014,Oyster Bay,H,20
7/17/2014,Oyster Bay,H,26
7/17/2014,Oyster Bay,H,26
7/17/2014,Oyster Bay,H,27
7/18/2014,Fidalgo,H,19
7/18/2014,Fidalgo,H,20
7/23/2014,Manchester,H,15
7/23/2014,Manchester,S,27
7/23/2014,Manchester,S,23
7/24/2014,Oyster Bay,S,24
7/24/2014,Oyster Bay,S,34
7/24/2014,Oyster Bay,S,30
7/24/2014,Oyster Bay,S,30
7/24/2014,Oyster Bay,S,30
7/24/2014,Oyster Bay,S,25
7/24/2014,Oyster Bay,S,26
7/24/2014,Oyster Bay,S,27
7/24/2014,Oyster Bay,N,33
7/24/2014,Oyster Bay,N,28
7/24/2014,Oyster Bay,N,30
7/24/2014,Oyster Bay,H,25
7/24/2014,Oyster Bay,H,26
7/24/2014,Oyster Bay,H,28
7/24/2014,Oyster Bay,H,25
7/25/2014,Fidalgo,H,20
7/25/2014,Fidalgo,H,22
7/25/2014,Fidalgo,S,29
7/25/2014,Fidalgo,S,25
7/25/2014,Fidalgo,S,30
7/25/2014,Fidalgo,S,30
7/25/2014,Fidalgo,S,32
7/25/2014,Fidalgo,S,31
7/30/2014,Manchester,S,24
7/30/2014,Manchester,H,20
7/31/2014,Oyster Bay,N,30
7/31/2014,Oyster Bay,H,32
8/1/2014,Fidalgo,S,30
8/1/2014,Fidalgo,S,35
8/1/2014,Fidalgo,S,33
8/6/2014,Manchester,H,24
8/6/2014,Manchester,H,24
8/6/2014,Manchester,S,24
8/6/2014,Manchester,S,22
8/6/2014,Manchester,S,25
8/6/2014,Manchester,S,25
8/7/2014,Oyster Bay,H,29
8/7/2014,Oyster Bay,H,31
8/7/2014,Oyster Bay,S,30
8/7/2014,Oyster Bay,S,34
8/7/2014,Oyster Bay,S,31
8/7/2014,Oyster Bay,S,33
8/7/2014,Oyster Bay,S,35
8/7/2014,Oyster Bay,S,27
8/7/2014,Oyster Bay,S,29
8/7/2014,Oyster Bay,S,26
8/7/2014,Oyster Bay,S,25
8/7/2014,Oyster Bay,S,25
8/7/2014,Oyster Bay,N,28
8/7/2014,Oyster Bay,N,30
8/7/2014,Oyster Bay,N,37
8/8/2014,Fidalgo,S,32
8/8/2014,Fidalgo,S,30
8/8/2014,Fidalgo,H,30
8/8/2014,Fidalgo,H,29
8/8/2014,Fidalgo,H,20
8/8/2014,Fidalgo,N,19
8/8/2014,Fidalgo,N,34
8/8/2014,Fidalgo,N,35
8/8/2014,Fidalgo,N,32
8/8/2014,Fidalgo,N,29
8/13/2014,Manchester,N,31
8/13/2014,Manchester,N,24
8/13/2014,Manchester,N,22
8/13/2014,Manchester,H,21
8/13/2014,Manchester,H,15
8/13/2014,Manchester,S,25
8/13/2014,Manchester,S,19
