,Date,Site,Temp,Pop,Brooders,Gaping,Percent,Dead,Closed,Total,Tide
28,8/6/2014,Manchester,18,N,0,45,0,4,5,54,-0.14
29,5/1/2014,Oyster Bay,11,N,0,0,0,0,0,100,-1.53
30,5/15/2014,Oyster Bay,13,N,0,46,0,7,14,67,-2.43
31,5/22/2014,Oyster Bay,13,N,0,3,0,93,5,101,2.31
32,5/29/2014,Oyster Bay,15,N,2,51,3.921568627,6,10,67,-2
33,6/5/2014,Oyster Bay,13,N,1,52,1.923076923,7,8,67,2.97
34,6/12/2014,Oyster Bay,15,N,2,48,4.166666667,8,1,61.16666667,-2.47
35,6/19/2014,Oyster Bay,16,N,3,54,5.555555556,8,1,68.55555556,1.93
36,6/26/2014,Oyster Bay,14,N,7,156,4.487179487,26,2,182,-1.72
37,7/3/2014,Oyster Bay,15,N,0,49,0,0,1,50,2.14
38,7/10/2014,Oyster Bay,16,N,8,73,10.95890411,3,2,88.95890411,-2.19
39,7/17/2014,Oyster Bay,16,N,0,48,0,1,1,50,1.42
40,7/24/2014,Oyster Bay,15,N,3,68,4.411764706,0,10,82.41176471,-0.85
41,7/31/2014,Oyster Bay,17,N,1,50,2,0,0,52,1.84
42,8/7/2014,Oyster Bay,15,N,3,71,4.225352113,0,7,82.22535211,-1.05
43,5/2/2014,Fidalgo,10,H,0,0,0,0,0,94,-0.84
44,5/16/2014,Fidalgo,9,H,0,48,0,0,52,100,-2.27
45,5/24/2014,Fidalgo,10,H,0,53,0,0,30,83,1.12
46,5/30/2014,Fidalgo,10,H,0,50,0,1,40,91,-1.46
47,6/6/2014,Fidalgo,10,H,0,58,0,0,33,91,3.13
48,6/13/2014,Fidalgo,7,H,0,72,0,0,27,99,-2.81
49,6/20/2014,Fidalgo,8,H,0,77,0,0,10,87,2.14
50,6/27/2014,Fidalgo,9,H,0,65,0,0,28,93,-1.42
51,7/4/2014,Fidalgo,9,H,1,88,1.136363636,0,9,98.13636364,2.58
52,7/11/2014,Fidalgo,16,H,0,70,0,0,28,98,-2.57
53,7/18/2014,Fidalgo,10,H,2,32,6.25,0,50,88.25,2.05
54,7/25/2014,Fidalgo,11,H,2,50,4,0,36,90,-0.78
55,8/1/2014,Fidalgo,10,H,0,84,0,0,2,86,2.39
56,8/8/2014,Fidalgo,11,H,3,67,4.47761194,0,15,86.47761194,-1.66
57,4/30/2014,Manchester,9.5,H,0,0,0,0,0,89,-1.5
58,5/14/2014,Manchester,9,H,0,25,0,0,72,97,-1.63
59,5/21/2014,Manchester,10,H,0,16,0,2,66,84,0.87
60,5/28/2014,Manchester,13,H,0,27,0,0,58,85,-1.83
61,6/4/2014,Manchester,8,H,0,55,0,11,23,89,1.7
62,6/11/2014,Manchester,9,H,0,63,0,2,31,96,-1.75
63,6/18/2014,Manchester,7,H,0,63,0,4,12,79,0.19
64,6/25/2014,Manchester,10,H,1,52,1.923076923,7,33,93.92307692,-1.49
65,7/2/2014,Manchester,10,H,0,52,0,20,8,80,0.94
66,7/9/2014,Manchester,11,H,1,60,1.666666667,5,21,87.66666667,-1.12
67,7/16/2014,Manchester,10,H,1,56,1.785714286,8,17,82.78571429,-0.28
68,7/23/2014,Manchester,8,H,1,67,1.492537313,7,9,84.49253731,-0.6
69,7/30/2014,Manchester,11,H,1,45,2.222222222,9,11,67.22222222,0.86
70,8/6/2014,Manchester,18,H,2,77,2.597402597,12,5,96.5974026,-0.14
71,5/1/2014,Oyster Bay,11,H,0,0,0,0,0,101,-1.53
72,5/15/2014,Oyster Bay,13,H,0,49,0,7,33,89,-2.43
73,5/22/2014,Oyster Bay,13,H,0,47,0,51,9,107,2.31
74,5/29/2014,Oyster Bay,15,H,1,80,1.25,7,2,89,-2
75,6/5/2014,Oyster Bay,13,H,2,79,2.53164557,7,3,89,2.97
76,6/12/2014,Oyster Bay,15,H,1,86,1.162790698,8,1,96.1627907,-2.47
77,6/19/2014,Oyster Bay,16,H,0,70,0,9,7,86,1.93
78,6/26/2014,Oyster Bay,14,H,1,92,1.086956522,4,1,98.08695652,-1.72
79,7/3/2014,Oyster Bay,15,H,3,66,4.545454545,4,4,78.54545455,2.14
80,7/10/2014,Oyster Bay,16,H,6,83,7.228915663,3,3,96.22891566,-2.19
81,7/17/2014,Oyster Bay,16,H,5,68,7.352941176,6,1,82.35294118,1.42
82,7/24/2014,Oyster Bay,15,H,4,72,5.555555556,4,6,87.55555556,-0.85
83,7/31/2014,Oyster Bay,17,H,1,59,1.694915254,2,8,70.69491525,1.84
84,8/7/2014,Oyster Bay,15,H,2,80,2.5,0,6,88.5,-1.05
85,5/2/2014,Fidalgo,10,S,0,0,0,0,0,94,-0.84
86,5/16/2014,Fidalgo,9,S,0,55,0,0,0,74,-2.27
87,5/24/2014,Fidalgo,10,S,0,77,0,0,0,93,1.12
88,5/30/2014,Fidalgo,10,S,0,77,0,1,55,133,-1.46
89,6/6/2014,Fidalgo,10,S,0,53,0,1,26,80,3.13
90,6/13/2014,Fidalgo,7,S,7,83,8.43373494,1,39,131.4337349,-2.81
91,6/20/2014,Fidalgo,8,S,1,83,1.204819277,0,8,91,2.14
92,6/27/2014,Fidalgo,9,S,3,87,3.448275862,0,4,94.44827586,-1.42
93,7/4/2014,Fidalgo,9,S,6,71,8.450704225,0,21,92,2.58
94,7/11/2014,Fidalgo,16,S,11,81,13.58024691,0,11,92,-2.57
95,7/18/2014,Fidalgo,10,S,0,67,0,0,26,93,2.05
96,7/25/2014,Fidalgo,11,S,6,72,8.333333333,0,32,104,-0.78
97,8/1/2014,Fidalgo,10,S,3,45,6.666666667,0,49,94,2.39
98,8/8/2014,Fidalgo,11,S,2,70,2.857142857,0,23,93,-1.66
99,4/30/2014,Manchester,9.5,S,0,0,0,0,43,43,-1.5
100,5/14/2014,Manchester,9,S,0,43,0,0,37,80,-1.63
101,5/21/2014,Manchester,10,S,0,76,0,3,6,85,0.87
102,5/28/2014,Manchester,13,S,0,43,0,9,3,55,-1.83
103,6/4/2014,Manchester,8,S,0,60,0,3,28,91,1.7
104,6/11/2014,Manchester,9,S,0,49,0,12,1,62,-1.75
105,6/18/2014,Manchester,7,S,1,55,1.818181818,10,10,76.81818182,0.19
106,6/25/2014,Manchester,10,S,0,50,0,2,13,65,-1.49
107,7/2/2014,Manchester,10,S,0,31,0,4,2,37,0.94
108,7/9/2014,Manchester,11,S,0,55,0,22,6,83,-1.12
109,7/16/2014,Manchester,10,S,3,59,5.084745763,12,48,124.0847458,-0.28
110,7/23/2014,Manchester,8,S,2,59,3.389830508,1,3,66.38983051,-0.6
111,7/30/2014,Manchester,11,S,1,69,1.449275362,10,14,94.44927536,0.86
112,8/6/2014,Manchester,18,S,4,50,8,11,15,84,-0.14
113,5/1/2014,Oyster Bay,11,S,0,0,0,0,1,1,-1.53
114,5/15/2014,Oyster Bay,13,S,0,59,0,8,11,78,-2.43
115,5/22/2014,Oyster Bay,13,S,0,2,0,68,12,82,2.31
116,5/29/2014,Oyster Bay,15,S,5,74,6.756756757,9,2,91.75675676,-2
117,6/5/2014,Oyster Bay,13,S,2,60,3.333333333,12,30,105.3333333,2.97
118,6/12/2014,Oyster Bay,15,S,3,63,4.761904762,11,6,84.76190476,-2.47
119,6/19/2014,Oyster Bay,16,S,11,80,13.75,12,7,112.75,1.93
120,6/26/2014,Oyster Bay,14,S,11,85,12.94117647,10,25,132.9411765,-1.72
121,7/3/2014,Oyster Bay,15,S,9,78,11.53846154,0,10,99.53846154,2.14
122,7/10/2014,Oyster Bay,16,S,10,82,12.19512195,0,2,96.19512195,-2.19
123,7/17/2014,Oyster Bay,16,S,0,75,0,1,38,114,1.42
124,7/24/2014,Oyster Bay,15,S,8,75,10.66666667,4,7,96.66666667,-0.85
125,7/31/2014,Oyster Bay,17,S,0,70,0,0,1,71,1.84
126,8/7/2014,Oyster Bay,15,S,10,80,12.5,0,22,114.5,-1.05
